TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1611661314,Charlotte Sting,28,15,13,0.536,1120.0,719,1651,0.435,110,321,0.343,337,487,0.692,279,635,914,485,496.0,219,116,72,465,1,1885,36.0,1,4,4,4,8,3,7,3,3,6,3,8,8,6,7,2,4,1,3,8,3,1,1,6,7,6,1997
1611661315,Cleveland Rockers,28,15,13,0.536,1135.0,725,1632,0.444,65,176,0.369,450,623,0.722,266,623,889,456,526.0,257,85,95,513,4,1965,50.0,1,4,4,4,1,2,8,2,8,8,1,2,2,4,8,3,6,4,6,4,5,4,2,1,3,5,1997
1611661316,Houston Comets,28,18,10,0.643,1130.0,699,1660,0.421,169,482,0.351,441,592,0.745,317,543,860,384,493.0,308,66,101,536,4,2008,177.0,1,1,1,1,4,6,6,4,1,1,2,3,5,2,4,7,8,8,2,2,7,5,3,1,2,1,1997
1611661320,Los Angeles Sparks,28,14,14,0.5,1133.6,799,1764,0.453,74,246,0.301,400,600,0.667,287,670,957,478,511.0,255,131,77,580,2,2072,65.0,1,6,6,6,3,1,2,1,7,7,7,5,4,7,6,1,1,3,4,6,1,2,8,4,1,4,1997
1611661313,New York Liberty,28,17,11,0.607,1135.0,709,1717,0.413,93,339,0.274,402,605,0.664,320,600,920,485,536.0,289,116,87,556,1,1913,71.0,1,2,2,2,1,5,5,5,6,5,8,4,3,8,3,5,3,1,7,3,3,3,4,6,5,3,1997
1611661317,Phoenix Mercury,28,16,12,0.571,1123.6,649,1744,0.372,131,425,0.308,480,629,0.763,315,589,904,434,472.0,340,78,109,565,1,1909,95.0,1,3,3,3,7,8,3,8,2,2,5,1,1,1,5,6,5,5,1,1,6,6,5,6,6,2,1997
1611661318,Sacramento Monarchs,28,10,18,0.357,1130.0,714,1737,0.411,107,346,0.309,385,530,0.726,348,538,886,394,554.0,257,55,109,571,3,1920,-198.0,1,7,7,7,4,4,4,6,4,4,4,6,6,3,1,8,7,7,8,4,8,6,7,3,4,7,1997
1611661319,Utah Starzz,28,7,21,0.25,1130.0,667,1781,0.375,106,349,0.304,370,524,0.706,338,612,950,425,520.0,252,123,119,567,2,1810,-296.0,1,8,8,8,4,7,1,7,5,3,6,7,7,5,2,4,2,6,5,7,2,8,6,4,8,8,1997
1611661314,Charlotte Sting,30,18,12,0.6,1200.0,798,1855,0.43,105,377,0.279,442,624,0.708,304,677,981,512,457.0,273,96,108,507,2,2143,92.0,1,4,4,4,7,2,4,3,7,4,8,7,6,6,7,4,4,4,2,4,5,7,1,6,5,3,1998
1611661315,Cleveland Rockers,30,20,10,0.667,1215.0,802,1716,0.467,106,279,0.38,483,631,0.765,227,649,876,574,528.0,270,99,101,598,5,2193,83.0,1,2,2,2,1,1,10,1,6,9,1,3,4,2,10,5,10,1,8,5,4,5,4,3,3,5,1998
